port_id,unlocode,name,country,lat,lon,port_type,max_draft_m,max_loa_m,max_beam_m,max_dwt,dry_bulk_berths,handling_rate_mtpd,gear_required,tidal_window_hrs,lightering_available,water_density,load_line_zone,notes,source_ref,retrieved_at,confidence
INPRT,INPRT,Paradip,India,20.3169,86.6753,discharge,16.0,300,46,180000,16,unknown,no,0,no,1025,seasonal,"Channel depth 17.1-18.7m. Coal berths #2/#3: 16.0m draft. Thermal coal berths #5-#8: 14.5m. Inner berths #9-#10: 12.5m. Model by berth type not single port draft. VTMS operated 24/7.",https://paradipport.gov.in,2026-09-02,high
INVTZ-OH,INVTZ,Visakhapatnam Outer Harbour,India,17.6868,83.2185,discharge,18.1,390,unknown,200000,3,unknown,no,0,no,1025,seasonal,"VGCB terminal. Quay length 356m. Super-Capesize capable up to 200000 DWT. Cape-grade coal operations.",https://vizagport.com,2026-09-02,high
INVTZ-IH,INVTZ,Visakhapatnam Inner Harbour,India,17.6868,83.2185,discharge,14.5,260,45,100000,10,unknown,yes,0,no,1025,seasonal,"EQ-1/VSPL berths: 14.5m draft, 240m LOA. WQ berths: 11.5-14.5m. Two pilots required LOA>195m. Baby-Cape daytime only. NOT same port as outer harbour - model separately.",https://vizagport.com,2026-09-02,high
INGAW,INGAW,Gangavaram,India,17.6258,83.2377,discharge,17.7,292,48,200000,9,unknown,no,0,no,1025,seasonal,"Standard max draft 17.70m. Case-by-case 18.3m. Channel 21m. All-weather. High mechanisation. 18.2m draft recorded in operations. Adani APSEZ. Adjacent to Vizag. NOTE: NOT in IMF PortWatch layer — operational congestion nowcast proxied via Vizag Outer Anchorage (port1367) + Adani vessel position circulars.",https://voceanship.com + adaniports.com,2026-09-02,high
INDHA,INDHA,Dhamra,India,20.7718,86.8879,discharge,17.2,350,50,200000,unknown,unknown,no,0,no,1025,seasonal,"Standard 17.20m. Record 2025: 18.40m on 299.95m LOA / 50m beam coking coal vessel. Grab unloaders 2800 tph. Night navigation permitted. Adani APSEZ.",https://voceanship.com,2026-09-02,high
INGOP,INGOP,Gopalpur,India,19.2561,84.8932,discharge,14.5,300,unknown,unknown,3,unknown,no,0,no,1025,seasonal,"Standard 14.5m. Up to 15.5m possible. 3 multipurpose berths. Mechanised coal import. Adani acquired 95% stake 2024. Hinterland: Odisha/Jharkhand/Chhattisgarh via NH-16. PANAMAX+ NOT full Capesize.",https://adaniports.com,2026-09-02,medium-high
INKRP,INKRP,Krishnapatnam,India,14.2506,80.1130,discharge,18.5,unknown,unknown,200000,5,unknown,no,0,no,1025,seasonal,"18.5m draft. 5 simultaneous Capesize berths capable. All-weather round-the-clock. Adani Krishnapatnam Port Limited. Contact: akpl.poc@adani.com for vessel vetting.",https://adaniports.com,2026-09-02,high
INHAL,INHAL,Haldia,India,22.0667,88.0667,discharge,8.5,230,unknown,unknown,unknown,unknown,no,12,yes,1010,seasonal,"Hooghly tidal river. 8.5m max LOA 230m. Siltation and dredging dependent. Draft Forecasts issued regularly at smportkolkata.shipping.gov.in. Water density 1010 brackish - FWA correction mandatory. Coal handling at Berth 3 revived.",https://smportkolkata.shipping.gov.in,2026-09-02,high
INSAG,INSAG,Sandheads / Sagar Roads,India,21.5500,88.0000,anchorage,30.0,350,60,200000,0,none,no,24,yes,1025,seasonal,"Deepwater anchorage. Capesize/Panamax lighter here via barges for Haldia/Kolkata transit. Effectively unlimited depth. Lightering economics must be modelled for any Haldia cargo: cost = tonnes_lightered * barge_rate + extra_days * (hire + port_consumption).",standard_maritime_knowledge,2026-09-02,high
AUNEW,AUNEW,Newcastle (PWCS Kooragang),Australia,-32.9283,151.7817,load,16.1,300,unknown,180000,unknown,unknown,no,tide_dependent,no,1025,tropical,"SAUCS dynamic UKC system for vessels >=13.6m. LOA>220m requires SAUCS request form. Sailing draft ~16.1m channel depth ~15.2m. NOT fully-laden Capesize port - 180k DWT Cape draws 18m, cannot load full. Air draught 20.5m KCT / 18.5m CCT.",https://portofnewcastle.com.au,2026-09-02,high
AUHAY,AUHAY,Hay Point / DBCT,Australia,-21.2833,149.3000,load,dynamic,unknown,unknown,220000,unknown,unknown,no,tide_dependent,no,1025,tropical,"Design vessel 220000 DWT. Max draft dynamic - tidal windows. Min UKC 1.5m mandatory. Max berthing displacement 110000 MT. Large tidal range up to 7m. Mooring: no nylon lines, MSMP/LMP required from April 2024.",https://dbct.com.au,2026-09-02,high
AUGLA,AUGLA,Gladstone,Australia,-23.8414,151.2558,load,17.5,unknown,unknown,180000,unknown,unknown,no,0,no,1025,tropical,"Thermal and coking coal. Approx 17-18m draft - UNVERIFIED. Verify against Gladstone Ports Corporation port handbook.",unverified_estimate,2026-09-02,medium
AUABP,AUABP,Abbot Point,Australia,-19.8761,148.0656,load,16.0,unknown,unknown,150000,unknown,unknown,no,tide_dependent,no,1025,tropical,"Coking coal. Approx 15.5-16.5m - UNVERIFIED. Verify against NQXT terminal specs.",unverified_estimate,2026-09-02,low
